#vn vp In(Murca)_with_SF(np)
8.5 6.5 2.074668038429973e-5
8.5 7.0 9.917432393078226e-6
8.5 7.5 4.685196569542676e-6
8.5 8.0 2.2058915929269746e-6
8.5 8.5 1.0472963551336183e-6
8.5 9.0 5.04457626973697e-7
8.5 9.5 2.46587026701241e-7
8.5 10.0 1.2220524550433204e-7
9.0 0.0 0.012497937981044984
9.0 0.5 0.011603732998561968
9.0 1.0 0.009355436569312854
9.0 1.5 0.006693730971990569
9.0 2.0 0.004370058471955881
9.0 2.5 0.0026696588512175328
9.0 3.0 0.0015577272653294414
9.0 3.5 0.0008800723128355425
9.0 4.0 0.00048366496478365024
9.0 4.5 0.0002585810712149251
9.0 5.0 0.00013440621258478474
9.0 5.5 6.78161032594333e-5
9.0 6.0 3.338689676207698e-5
9.0 6.5 1.6199048098726914e-5
9.0 7.0 7.780258478452414e-6
9.0 7.5 3.689765497508903e-6
9.0 8.0 1.7359834573111309e-6
9.0 8.5 8.198995250635361e-7
9.0 9.0 3.918683996056058e-7
9.0 9.5 1.8986527476349782e-7
9.0 10.0 9.324702421248609e-8
9.5 0.0 0.009265179888084443
9.5 0.5 0.008607814076298528
9.5 1.0 0.006951955516327873
9.5 1.5 0.004983421573854756
9.5 2.0 0.003257271259810855
9.5 2.5 0.001990376407558926
9.5 3.0 0.0011617580121511704
9.5 3.5 0.0006578132657017235
9.5 4.0 0.00036349209514637253
9.5 4.5 0.0001958386446640536
9.5 5.0 0.00010274858892608161
9.5 5.5 5.2383156922085945e-5
9.5 6.0 2.600469696578077e-5
9.5 6.5 1.2689691035081904e-5
9.5 7.0 6.128307535541269e-6
9.5 7.5 2.9225436135036882e-6
9.5 8.0 1.3771493265164098e-6
9.5 8.5 6.481334614080947e-7
9.5 9.0 3.0768577735178523e-7
9.5 9.5 1.4784520847417095e-7
9.5 10.0 7.194723084263587e-8
10.0 0.0 0.00684725588186876
10.0 0.5 0.006366292534189519
10.0 1.0 0.005152044783812814
10.0 1.5 0.003699248486595351
10.0 2.0 0.0024190427772992355
10.0 2.5 0.001478237452919623
10.0 3.0 0.0008632671733613078
10.0 3.5 0.0004899389800023679
10.0 4.0 0.00027226761878734154
10.0 4.5 0.00014793256450121246
10.0 5.0 7.837451303389349e-5
10.0 5.5 4.040295711295591e-5
10.0 6.0 2.025983831455098e-5
10.0 6.5 9.957862195630004e-6
10.0 7.0 4.837934142326763e-6
10.0 7.5 2.3224071832536803e-6
10.0 8.0 1.098500436384279e-6
10.0 8.5 5.16261477402166e-7
10.0 9.0 2.438208788406058e-7
10.0 9.5 1.163345510351542e-7
10.0 10.0 5.613669976759853e-8
