#vn vp In(Murca)_with_SF(np)
1.5 7.5 0.024699640954075237
1.5 8.0 0.019397070340997944
1.5 8.5 0.015180724524485384
1.5 9.0 0.011828388898836613
1.5 9.5 0.009168111173103689
1.5 10.0 0.007066122579755949
2.0 0.0 0.1848285308359722
2.0 0.5 0.18046897198133893
2.0 1.0 0.16838668642872773
2.0 1.5 0.1510400710320594
2.0 2.0 0.1312383503192307
2.0 2.5 0.1112735512820021
2.0 3.0 0.09262104727536782
2.0 3.5 0.0760345144174961
2.0 4.0 0.06176879582289939
2.0 4.5 0.04978295031304553
2.0 5.0 0.039883013194771215
2.0 5.5 0.031809576872961334
2.0 6.0 0.025287138499210063
2.0 6.5 0.02005126915614213
2.0 7.0 0.01586362554032834
2.0 7.5 0.012519405002336021
2.0 8.0 0.00984932987108628
2.0 8.5 0.007717603905544793
2.0 9.0 0.006017391866122932
2.0 9.5 0.004665277703639653
2.0 10.0 0.0035956662413921545
2.5 0.0 0.08862640405147783
2.5 0.5 0.0864621257562276
2.5 1.0 0.0804804943407298
2.5 1.5 0.07193785565922328
2.5 2.0 0.06225698988242913
2.5 2.5 0.052580090016906715
2.5 3.0 0.043621924192124725
2.5 3.5 0.03572746102629066
2.5 4.0 0.028992844058256945
2.5 4.5 0.023372817313697673
2.5 5.0 0.018753902376999462
2.5 5.5 0.014997538856824663
2.5 6.0 0.011963656941535557
2.5 6.5 0.009523070415533947
2.5 7.0 0.007563267795399707
2.5 7.5 0.005990111748178432
2.5 8.0 0.004727154091398346
2.5 8.5 0.003713612521074914
2.5 9.0 0.002901666320655401
2.5 9.5 0.0022536522387262507
2.5 10.0 0.001739556669286169
3.0 0.0 0.04088598306551843
3.0 0.5 0.03986435769754132
3.0 1.0 0.03704433505134303
3.0 1.5 0.033026596673892766
3.0 2.0 0.02848915011481842
3.0 2.5 0.023973634144320632
3.0 3.0 0.01981624240503889
3.0 3.5 0.016176207671206998
3.0 4.0 0.013093970687771217
3.0 4.5 0.010542277969579525
3.0 5.0 0.008460991442298378
3.0 5.5 0.006778408226387481
3.0 6.0 0.005423766301312409
3.0 6.5 0.0043339852363418275
3.0 7.0 0.0034563922409520894
3.0 7.5 0.002748772707885784
3.0 8.0 0.0021779580695664275
3.0 8.5 0.0017179389511502304
3.0 9.0 0.001348120225988495
3.0 9.5 0.0010519700126987907
3.0 10.0 0.0008160600911960419
3.5 0.0 0.018501957750732292
3.5 0.5 0.018033559608257498
3.5 1.0 0.016740465425735165
3.5 1.5 0.014898137640206267
3.5 2.0 0.012818583390512898
3.5 2.5 0.010752299607446095
3.5 3.0 0.008855531037768526
3.5 3.5 0.007202293627241762
3.5 4.0 0.005810627643272229
3.5 4.5 0.004666233009222679
3.5 5.0 0.0037391155083688144
3.5 5.5 0.0029941276856358333
3.5 6.0 0.0023971668910550436
3.5 6.5 0.0019183952175145678
3.5 7.0 0.0015334077542670924
3.5 7.5 0.001223062746764626
3.5 8.0 0.0009726039635810366
3.5 8.5 0.0007705927231782769
3.5 9.0 0.0006079864415575181
3.5 9.5 0.00047748904151473837
3.5 10.0 0.0003731418013907439
4.0 0.0 0.008316924809608323
4.0 0.5 0.008104704398641525
4.0 1.0 0.007517999367587326
4.0 1.5 0.00668030244805996
4.0 2.0 0.0057331265737863
4.0 2.5 0.004791932408498198
4.0 3.0 0.0039299974233173544
4.0 3.5 0.0031823796538442803
4.0 4.0 0.0025572282881973405
4.0 4.5 0.002046892632251247
4.0 5.0 0.0016362704079566413
4.0 5.5 0.0013082019571503953
4.0 6.0 0.001046498489472976
4.0 6.5 0.0008373278005549701
4.0 7.0 0.0006695763508682225
4.0 7.5 0.0005346422454060971
4.0 8.0 0.00042596457404971816
4.0 8.5 0.0003384935384421994
4.0 9.0 0.00026823527859916443
4.0 9.5 0.00021193609000016208
4.0 10.0 0.00016690593319323142
4.5 0.0 0.0037383912979266705
4.5 0.5 0.003641775923608034
4.5 1.0 0.0033746017637505442
4.5 1.5 0.0029931009442833115
4.5 2.0 0.002562066305225225
4.5 2.5 0.0021346234236732367
4.5 3.0 0.0017444597716502106
4.5 3.5 0.0014074013950233456
4.5 4.0 0.0011267008736839765
4.5 4.5 0.0008984052947275259
4.5 5.0 0.000715368315290109
4.5 5.5 0.0005697215477590171
4.5 6.0 0.00045414415023949713
4.5 6.5 0.0003623756946992057
